Category,Pairing Descriptor
Cuisine,American (Traditional)
Main Ingredient,Beef
Cuisine,Belgian
Cuisine,Brunch
Cuisine,Burgers
Cuisine,Cajun
Main Ingredient,Dessert
Main Ingredient,Duck
Main Ingredient,Fatty fish
Main Ingredient,Game
Cuisine,Indian
Cuisine,Italian (traditional)
Cuisine,Japanese
Cuisine,Japanese (sushi)
Main Ingredient,Lamb
Cuisine,Latin American
Cuisine,Mediterannean
Cuisine,Mexican
Cuisine,Pork
Main Ingredient,Pork
Main Ingredient,Salad
Main Ingredient,Sausage
Main Ingredient,Seafood
Main Ingredient,Shellfish
Cuisine,Thai
Main Ingredient,Turkey
Cuisine,Vietnamese
Main Ingredient,White fish